barcode,farm_type,farm_id,sample_type,oblast,taxon_level,taxon_name,abundance,full_taxonomy
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Rikenellaceae,100,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Unknown,2510,Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Acidovorax,29,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Aeromonas,197,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Alistipes,100,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Anaerotignum,15,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Anaerotignaceae;Anaerotignum
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Bacteroides,75,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Citrobacter,1129,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Comamonas,935,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Delftia,63,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Enterobacter,238,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Escherichia,2932,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Klebsiella,3782,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Macellibacteroides,11,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Morganella,2208,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Oscillibacter,50,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillibacter
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Proteus,195,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Pseudomonas,276,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Raoultella,39,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Salmonella,66,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Shigella,86,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Stenotrophomonas,39,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,genus,Unknown,2510,Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,order,Aeromonadales,197,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,order,Bacteroidales,186,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,order,Burkholderiales,1027,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,order,Enterobacterales,10675,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,order,Eubacteriales,50,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,order,Lachnospirales,15,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,order,Lysobacterales,39,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Lysobacterales
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,order,Pseudomonadales,276,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,order,Unknown,2510,Unclassified;Unknown;Unknown;Unknown;Unknown
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,phylum,Bacillota,65,Bacteria;Bacteria_none;Bacillota
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,phylum,Bacteroidota,186,Bacteria;Bacteria_none;Bacteroidota
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,phylum,Pseudomonadota,12214,Bacteria;Bacteria_none;Pseudomonadota
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,phylum,Unknown,2510,Unclassified;Unknown;Unknown
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Acidovorax temperans,29,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax temperans
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Aeromonas caviae,51,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas caviae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Aeromonas hydrophila,90,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas hydrophila
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Aeromonas media,35,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas media
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Aeromonas rivipollensis,21,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas rivipollensis
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Alistipes finegoldii,100,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes finegoldii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Anaerotignum propionicum,15,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Anaerotignaceae;Anaerotignum;Anaerotignum propionicum
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Bacteroides graminisolvens,31,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides graminisolvens
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Bacteroides thetaiotaomicron,44,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Citrobacter braakii,96,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter braakii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Citrobacter cronae,93,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter cronae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Citrobacter freundii,379,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Citrobacter koseri,74,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter koseri
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Citrobacter pasteurii,13,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter pasteurii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Citrobacter portucalensis,349,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter portucalensis
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Citrobacter sp. CRE-46,47,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sp. CRE-46
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Citrobacter werkmanii,78,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter werkmanii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Comamonas aquatica,189,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas aquatica
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Comamonas fluminis,31,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas fluminis
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Comamonas kerstersii,51,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas kerstersii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Comamonas resistens,17,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas resistens
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Comamonas sp. Y33R10-2,52,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas sp. Y33R10-2
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Comamonas terrigena,14,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas terrigena
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Comamonas testosteroni,134,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas testosteroni
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Comamonas thiooxydans,447,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas thiooxydans
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Delftia acidovorans,63,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;Delftia acidovorans
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Enterobacter hormaechei,238,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter hormaechei
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Escherichia albertii,40,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Escherichia coli,2829,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Escherichia fergusonii,25,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Escherichia marmotae,23,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Escherichia sp. E4742,15,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia sp. E4742
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Klebsiella aerogenes,1136,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella aerogenes
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Klebsiella grimontii,1277,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella grimontii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Klebsiella huaxiensis,18,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella huaxiensis
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Klebsiella michiganensis,423,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella michiganensis
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Klebsiella oxytoca,90,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella oxytoca
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Klebsiella pasteurii,31,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pasteurii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Klebsiella pneumoniae,684,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Klebsiella quasipneumoniae,57,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella quasipneumoniae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Klebsiella variicola,66,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella variicola
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Macellibacteroides_uncultured,11,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides;Macellibacteroides_uncultured
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Morganella morganii,2208,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Oscillibacter hominis,50,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillibacter;Oscillibacter hominis
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Proteus mirabilis,123,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Proteus terrae,72,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus terrae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Pseudomonas fragi,39,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Pseudomonas lundensis,14,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas lundensis
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Pseudomonas putida,103,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Pseudomonas saudiphocaensis,14,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas saudiphocaensis
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Pseudomonas sp. DG56-2,106,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DG56-2
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Raoultella planticola,39,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella;Raoultella planticola
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Salmonella enterica,66,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Shigella dysenteriae,15,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Shigella flexneri,71,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Stenotrophomonas sp. 610A2,39,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;Stenotrophomonas sp. 610A2
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,species,Unknown,2510,Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Actinomycetes,838,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Alphaproteobacteria,629,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Bacilli,935,Bacteria;Bacteria_none;Bacillota;Bacilli
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Bacteroidia,12203,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Betaproteobacteria,15712,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Caudoviricetes,39,Viruses;Heunggongvirae;Uroviricota;Caudoviricetes
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Clostridia,329,Bacteria;Bacteria_none;Bacillota;Clostridia
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Epsilonproteobacteria,181,Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Flavobacteriia,760,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Gammaproteobacteria,25808,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Mammalia,126,Eukaryota;Metazoa;Chordata;Mammalia
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Negativicutes,323,Bacteria;Bacteria_none;Bacillota;Negativicutes
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Sphingobacteriia,533,Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Tissierellia,13,Bacteria;Bacteria_none;Bacillota;Tissierellia
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,class,Unknown,52095,Unclassified;Unknown;Unknown;Unknown
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Actinomycetaceae,32,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Aerococcaceae,358,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Aerococcaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Aeromonadaceae,574,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Alcaligenaceae,365,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Anaerotignaceae,180,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Anaerotignaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Anaerovoracaceae,25,Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Aquaspirillaceae,27,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Aquaspirillaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Arcobacteraceae,181,Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Azonexaceae,964,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Bacteroidaceae,9645,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Brevibacteriaceae,32,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Burkholderiaceae,79,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Carnobacteriaceae,331,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae
barcode02,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,family,Caudoviricetes_Incertae_sedis,39,Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Caudoviricetes_Incertae_sedis
