family,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,order,tax
Methanomethylophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Archaea_none,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Archaea;Archaea_none;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae
Lactobacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae
Streptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae
Christensenellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Christensenellales,Bacteria;Bacteria_none;Bacillota;Clostridia;Christensenellales;Christensenellaceae
Acutalibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae
Aristaeellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Aristaeellaceae
Butyricicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae
Clostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae
Desulfallaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Desulfallaceae
Desulfitobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Desulfitobacteriaceae
Eubacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae
Eubacteriales Family XIII. Incertae Sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis
Eubacteriales_Incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis
Maliibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Maliibacteriaceae
Oscillospiraceae,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae
Peptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae
Syntrophomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae
Anaerotignaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Lachnospirales,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Anaerotignaceae
Defluviitaleaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Lachnospirales,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Defluviitaleaceae
Lachnospiraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Lachnospirales,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae
Vallitaleaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Lachnospirales,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Vallitaleaceae
Moorellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Moorellales,Bacteria;Bacteria_none;Bacillota;Clostridia;Moorellales;Moorellaceae
Anaerovoracaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Peptostreptococcales,Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae
Filifactoraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Peptostreptococcales,Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Filifactoraceae
Natronincolaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Peptostreptococcales,Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Natronincolaceae
Peptoclostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Peptostreptococcales,Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Peptoclostridiaceae
Peptostreptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Peptostreptococcales,Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae
Thermotaleaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Peptostreptococcales,Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Thermotaleaceae
Thermoanaerobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Thermoanaerobacterales,Bacteria;Bacteria_none;Bacillota;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae
Turicibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Erysipelotrichia,Erysipelotrichales,Bacteria;Bacteria_none;Bacillota;Erysipelotrichia;Erysipelotrichales;Turicibacteraceae
Acidaminococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Negativicutes,Acidaminococcales,Bacteria;Bacteria_none;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae
Selenomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Negativicutes,Selenomonadales,Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae
Sporomusaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Negativicutes,Selenomonadales,Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae
Veillonellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Negativicutes,Veillonellales,Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae
Acidilutibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Tissierellia,Tissierellales,Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellales;Acidilutibacteraceae
Tissierellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Tissierellia,Tissierellales,Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellales;Tissierellaceae
Tissierellia_Incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Tissierellia,Tissierellia_Incertae_sedis,Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellia_Incertae_sedis;Tissierellia_Incertae_sedis
Bacteroidaceae,1,3,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae
Barnesiellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae
Dysgonomonadaceae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae
Muribaculaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae
Odoribacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae
Paludibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae
Porphyromonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae
Prevotellaceae,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae
Rikenellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae
Tannerellaceae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae
Marinilabiliaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Marinilabiliales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae
Prolixibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Marinilabiliales,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae
Flammeovirgaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Cytophagia,Cytophagales,Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Flammeovirgaceae
Spirosomataceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Cytophagia,Cytophagales,Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae
Flavobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Flavobacteriia,Flavobacteriales,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
Weeksellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Flavobacteriia,Flavobacteriales,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae
Haliscomenobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Saprospiria,Saprospirales,Bacteria;Bacteria_none;Bacteroidota;Saprospiria;Saprospirales;Haliscomenobacteraceae
Sphingobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
Arcobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bacteria,Bacteria_none,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae
Campylobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae
Helicobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae
Sulfurimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Sulfurimonadaceae
Sulfurospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Sulfurospirillaceae
